user_username,user_display_name,user_profile_url,text,hashtags,mentions,has_image,has_video,timestamp,tweet_url,tweet_id,views,is_retweet,extracted_at
MarketsBlock,MarketsBlock,https://twitter.com/MarketsBlock,Wells Fargo maintains #UberTechnologies$UBER at Overweight and lowers the price target from $90 to,#Uber,,False,False,2025-02-06T17:45:49.000Z,https://twitter.com/MarketsBlock/status/1887558329917944065,1887558329917944065,222.0,False,2025-02-26T20:54:33.058211
MarketsBlock,MarketsBlock,https://twitter.com/MarketsBlock,Cantor Fitzgerald maintains #UberTechnologies$UBER at Overweight and raises the price target from $75 to,#Uber,,False,False,2025-01-28T16:49:24.000Z,https://twitter.com/MarketsBlock/status/1884282639206776917,1884282639206776917,233.0,False,2025-02-26T20:54:33.058211
Traders Community,Traders Community,https://twitter.com/TradersCom,"Domino's Pizza Soars Pre-Market: $385.90 +36.11 (+10.32%) 
After striking global delivery deal with UberTechnologies$UBER Pre-Market: $44.98 +0.62 (+1.40%)
#UberEats will be the exclusive third-party platform for Domino's in the U.S. until at least 2024.
https://-weekly-inflation-disinflation-or-deflation/…",#UberEats,,True,False,2023-07-12T12:10:34.000Z,https://twitter.com/TradersCom/status/1679100936357117954,1679100936357117954,321.0,False,2025-02-26T20:54:38.445194
ABBO News,ABBO News,https://twitter.com/ABBONews,"JUST IN: Shares of UberTechnologies$UBER jumped to a three-month high on Friday after billionaire hedge fund manager Bill Ackman announced that he had taken a stake worth about $2.3 billion in the ride-sharing platform.

#Uber#NYSE#StockMarket#Finance#trading#AI","#Uber,#NYSE,#StockMarket,#Finance,#trading,#AI",,True,False,2025-02-07T20:37:30.000Z,https://twitter.com/ABBONews/status/1887963922969383180,1887963922969383180,162.0,False,2025-02-26T20:54:40.260819
CWEB,CWEB,https://twitter.com/cweb,UberTechnologies Inc. Hits Milestone with Uber Eats and Sets Ambitious 2024 Targets https://ies-inc-hits-milestone-with-uber-eats-and-sets-ambitious-2024-targets/…#Uber#uberdriver#webfans,"#Uber,#uberdriver,#webfans",,True,False,2024-04-13T19:01:50.000Z,https://twitter.com/cweb/status/1779223486344699964,1779223486344699964,56.0,False,2025-02-26T20:54:43.098807
David Welch,David Welch,https://twitter.com/DavidWelch47,Uber considered offloading its Freight unit with a spin-off. https://2023-03-08/uber-technologies-is-said-to-consider-spinning-off-freight-logistics-division#xj4y7vzkg…. #uber#Deals@Katie_Roof@EdLudlow,"#uber,#Deals","@Katie_Roof,@EdLudlow",False,False,2023-03-08T21:29:39.000Z,https://twitter.com/DavidWelch47/status/1633580763982573570,1633580763982573570,37000.0,False,2025-02-26T20:54:47.238310
Cybernews,Cybernews,https://twitter.com/CyberNews,"Uber and UberTechnologies were found to be jointly responsible.

#Uber#EU#privacy#datasecurity#cybersecurity#infosec","#Uber,#EU,#privacy,#datasecurity,#cybersecurity,#infosec",,False,False,2024-08-26T12:40:00.000Z,https://twitter.com/CyberNews/status/1828049757186498795,1828049757186498795,677.0,False,2025-02-26T20:54:50.704834
MarketsBlock,MarketsBlock,https://twitter.com/MarketsBlock,UBS maintains #UberTechnologies$UBER at Buy and lowers the price target from $114 to,#Uber,,False,False,2025-02-03T20:43:16.000Z,https://twitter.com/MarketsBlock/status/1886515821800730823,1886515821800730823,523.0,False,2025-02-26T20:54:50.717138
TalkMarkets,TalkMarkets,https://twitter.com/TalkMarkets,#UberTechnologies: Chart Of The Week $UBERhttps://--equities/uber-technologies-inc-chart-of-the-week?post=403824…,#Uber,,False,False,2023-07-18T21:16:02.000Z,https://twitter.com/TalkMarkets/status/1681412536346787861,1681412536346787861,115.0,False,2025-02-26T20:54:54.152878
FP Markets,FP Markets,https://twitter.com/FP_markets,"#UberTechnologies Inc. (ticker: #UBER) is scheduled to report #earnings before the market opens on 5 February. The consensus #EPS estimate for the fiscal quarter ending December 2024 is US$0.50. The reported EPS for the same quarter a year prior was US$0.66.

#FPMarkets","#Uber,#UBER,#earnings,#EPS,#FPMarkets",,True,False,2025-02-05T09:00:23.000Z,https://twitter.com/FP_markets/status/1887063711841468572,1887063711841468572,110.0,False,2025-02-26T20:54:59.369999
shoreline666,shoreline666,https://twitter.com/shoreline666,"#JUPUARY made the bar high for 2024

being #early & a 'pioneer'/user of new technologies has its perks 

who doesn't enjoyed those free coupon #uber rides back  in 2012? 

in crypto is $WEN you make enough from #airdrpos to go to #Jupiter","#JUPUARY,#early,#uber,#airdrpos,#Jupiter",,True,False,2024-02-01T02:32:17.000Z,https://twitter.com/shoreline666/status/1752882533090337263,1752882533090337263,224.0,False,2025-02-26T20:54:59.370389
MarketsBlock,MarketsBlock,https://twitter.com/MarketsBlock,Goldman Sachs maintains #UberTechnologies$UBER at Buy and maintains a price target of,#Uber,,False,False,2025-01-02T21:30:36.000Z,https://twitter.com/MarketsBlock/status/1874931322847887744,1874931322847887744,64.0,False,2025-02-26T20:55:01.570733
Startup Pakistan,Startup Pakistan,https://twitter.com/PakStartup,"UberTechnologies is set to acquire Foodpanda's Taiwan business, owned by Delivery Hero, for $950 million in cash, as part of Foodpanda's strategic shift towards other markets. 

#Uber#Foodpanda#Business#Monopoly#Deliveryservice","#Uber,#Foodpanda,#Business,#Monopoly,#Deliveryservice",,True,False,2024-05-15T16:48:29.000Z,https://twitter.com/PakStartup/status/1790786340906233982,1790786340906233982,1700.0,False,2025-02-26T20:55:04.031987
MarketsBlock,MarketsBlock,https://twitter.com/MarketsBlock,Cantor Fitzgerald reiterates #UberTechnologies$UBER at Overweight and maintains a price target of,#Uber,,False,False,2024-12-18T19:56:02.000Z,https://twitter.com/MarketsBlock/status/1869471707066708254,1869471707066708254,341.0,False,2025-02-26T20:55:10.607159
International Business Magazine,International Business Magazine,https://twitter.com/ibmag_magazine,"WeRide and UberTechnologies, Inc. the world’s largest mobility and delivery technology platform, recently announced a strategic partnership to bring WeRide’s autonomous vehicles onto the Uber platform, beginning in UAE.
https://#AutonomousVehicles#intlbm#Uber","#AutonomousVehicles,#intlbm,#Uber",,False,False,2024-09-26T09:31:43.000Z,https://twitter.com/ibmag_magazine/status/1839236398991241506,1839236398991241506,21.0,False,2025-02-26T20:55:12.363609
ETF Enterprises,ETF Enterprises,https://twitter.com/ETFEnterprises,"#UberTechnologies has opened an interest list for its customers in Austin, Texas, to experience rides in Waymo's autonomous vehicles. This initiative follows Uber's strong Q4 earnings report, which exceeded revenue and EPS expectations. $UBER#Waymo#autonomous#selfdriving","#Uber,#Waymo,#autonomous,#selfdriving",,True,False,2025-02-05T13:22:16.000Z,https://twitter.com/ETFEnterprises/status/1887129617602945233,1887129617602945233,2800.0,False,2025-02-26T20:55:15.847416
MarketsBlock,MarketsBlock,https://twitter.com/MarketsBlock,Needham reiterates #UberTechnologies$UBER at Buy and maintains the price target at,#Uber,,False,False,2025-01-27T12:36:37.000Z,https://twitter.com/MarketsBlock/status/1883856636365939078,1883856636365939078,329.0,False,2025-02-26T20:55:18.926152
Petar Vladimirov Posledovich,Petar Vladimirov Posledovich,https://twitter.com/PPosledovich,"UberTechnologies Inc Valuation 

https://echnologies-inc.html?spref=tw…Uber is fairly valued.

#uber#UberEats#UberDrivers#uberdriver#ubereats配達員#investing#StockMarket#stocks#stocksinnews#valuation#SiliconValley#capital","#uber,#UberEats,#UberDrivers,#uberdriver,#ubereats配達員,#investing,#StockMarket,#stocks,#stocksinnews,#valuation,#SiliconValley,#capital",,True,False,2023-05-18T17:47:44.000Z,https://twitter.com/PPosledovich/status/1659254457027252224,1659254457027252224,69.0,False,2025-02-26T20:55:21.580070
Forbes Middle East,Forbes Middle East,https://twitter.com/Forbes_MENA_,"#Taiwan has rejected #UberTechnologies' proposed $950 million acquisition of Delivery Hero's Foodpanda operations on the island, citing potential anti-competitive concerns.

#Forbes

For more details: https://","#Taiwan,#Uber,#Forbes",,True,False,2024-12-26T05:37:33.000Z,https://twitter.com/Forbes_MENA_/status/1872154762701103297,1872154762701103297,326.0,False,2025-02-26T20:55:25.358743
Isis Almeida,Isis Almeida,https://twitter.com/isiscarol14,#Uber Is Considering Spinning Off Freight Logistics Division w/ ⁦@DavidWelch47⁩ ⁦@Katie_Roof⁩ ⁦@jackiedavalos1⁩,#Uber,"@DavidWelch47,@Katie_Roof,@jackiedavalos1",False,False,2023-03-08T21:37:31.000Z,https://twitter.com/isiscarol14/status/1633582746596671488,1633582746596671488,1000.0,False,2025-02-26T20:55:32.591111
